borrower_id,loans,total_outstanding,max_days_past_due,last_report
9056a38aab430e1c4fbc52561fbbee2c504bbaece354bc6559549ae44440018e,1,1639623.3260000001,97,2025-07-08
df99cc6beb2a24f5140212f47cd4400b548615475b6d951db334f8bf811a4e70,1,1620401.5520000001,98,2025-07-08
5d5a5d2c1f1c8bcefd5ad47c5eb6af4fabdb5dc0078f3f1c8fba01f1d8a910a7,1,1582704.629,96,2025-07-08
42fbf6c9f62175d553c49d4bc1ef5c9134af9bff34ecb07ab7bd75c14974ec31,1,1552198.648,94,2025-07-08
6c08bf088d5d43140ed8269413cec075b8f3a6617310ba21ae42c9d1ba7a1d67,1,1549453.587,94,2025-07-08
e9f4c7c12dfe8356cec30a9c191426484efc9fd488907cab7a39b3f2d240b0e6,1,1530488.135,94,2025-07-08
13a1d0dc9f37d18b5d34257003814d735c079ca7967d8c128e8c6a2457dcd0f8,1,1460593.002,88,2025-07-08
3d0a13caec1a361e62125047432b76b196389d9c17f711165c2be2df13176b1a,10,1453561.868,88,2025-07-08
addb8f14d67b355f58a9a98e857d646fc63d0c50a205cc039a2a6adf681767a4,1,1441727.65,87,2025-07-08
5df8918c1fe435d8e26fefcb2b23f26b5dd881f620e90db4c897f7cc601076d9,1,1424590.53,94,2025-07-08
dee8824019d3766790290cbf5c21175ee284235a8fa1ab4ebe03f05aa67294c5,1,1373352.75,83,2025-07-08
979dbecd2b207a5858d21f2e447dfb9de8d98de0b4f08cda08c3ec3e05c4b4c9,1,1341796.72,85,2025-07-08
ab5ceb3cf7da7efe86a6da66e12ccd871ef4c83ee7d75101ec262189e2b82f65,1,1335589.695,88,2025-07-08
e2354631b25f2d21b1ab8bb803038d857f8ee4261dd727df31beeaaeebd388db,7,1305635.628,77,2025-07-08
d207510db335fee80246ba827c2d21f757b3229ed5acb7ed796e1ee7235698bc,1,1304623.782,78,2025-07-08
e2815e1af29febc0034ca19f62c4135f67cd6f356f05efde3b8f5e521be69880,1,1291185.5,98,2025-07-08
4603661ba0b299ff8a9751d45eee56298db4e6612a4e34bcafc02d6ff4792f1a,1,1290010.535,98,2025-07-08
1f7e0c24e2a67f6967e1f077c92e04491a73283c715af426e49045cccac46554,2,1286238.998,98,2025-07-08
ed6400fc06918c7b3ac078f6fb693765b9044cbfc3158dcd5e17e858fdab3863,1,1275072.051,97,2025-07-08
cbed6a69a40f20159b1e722a02f486ea23812ee44fcb27a5802f2f1346559d77,1,1270226.078,97,2025-07-08
836570c79bd030a9771d4bb9e9821db4af54fe2fb57e3ad4407ef79da8868888,1,1267662.616,98,2025-07-08
5867158894710ff117b8602beb5b65818812b43112fc3a35566c75de35072f27,1,1264465.994,96,2025-07-08
39a8c59db1c88d537d469f95fceafb6fd6e09227addc4287c9f35697ffd8f34b,1,1263873.666,96,2025-07-08
afe50f1a9198d31cd7ebe7f40427a39a529536d29c930a27facd8a58373da40e,1,1256172.1369999999,95,2025-07-08
0def9d15d488b1d93129ea6c78df69399ed70c773ef042081cb1ddde252fa895,1,1253369.645,95,2025-07-08
fe1dd195ea55397a2d688522b0a3d49b90d1bda60d41f645560a446323edd868,1,1252905.5,96,2025-07-08
884c2ef1ecbefc10aa5e121a95346d7bcec3079a5fea4c5b663893a1185eec47,1,1250631.558,95,2025-07-08
ac7976fe4d397fa0bcaf86e55d518448b19df13bc2338537b3fecb1c5607e429,1,1243919.908,75,2025-07-08
96fa0c2763353084372e2e9569917046ae31028e296ca0658592ac36a4aa48e3,2,1241454.489,97,2025-07-08
779ad1769f56ac548e35a8cf666a4f39a206480e3be39135b71e073e96594076,2,1240654.822,97,2025-07-08
0163ddaddd37741a571cace9f68a3c1b6e041e6e6e3cc167737103be9f1b73e1,1,1230116.8,74,2025-07-08
a86b2c8dbaae62f90bd952809f24c114b736ef67f0cd6064bce8d7a08ce9df46,1,1224319.558,93,2025-07-08
11670f7da55e1878b9bea4bb7309d69569fc197a5049852291c6bee49f8e5eb3,1,1218511.943,74,2025-07-08
b2b8bdc24e266a5edbef9cd64cb96af80df089ba5ef3dee0ee0c5cbaebdcbb04,3,1205492.53,82,2025-07-08
43b415ca82e92ad4b49edc3a643f6319b9a7484938f5cfc4cc48e0a1b13d0b8d,1,1164103.798,86,2025-07-08
07a38d4004e0323e42e9706467038cdccdcf55e1d22aadbcf3a70cc29ac391be,1,1148992.922,78,2025-07-08
c472ca82546a0e1c43088001255166267bfb907683686ef43eb431faa6bbc4a1,1,1147195.511,96,2025-07-08
fbed19bd1c649a4bbe0f996b029a2e033ec38da2e9e31baf60654931471a28b8,1,1145582.669,69,2025-07-08
eb63243a52e3f9d52debed91b452bcda170a9ae20ffe19ce30c378ef567f6ea6,2,1135260.665,81,2025-07-08
8fb1df80f54d9820d889d28a5c68f15a55e6e732b1e39b455e5c14f06a06fc57,1,1135116.62,93,2025-07-08
cfe410ffbd64884bd2688132a7d958e82db0b111dc5d08b822eb70398b6fee01,5,1129718.876,95,2025-07-08
08f4bba3b5ef2056fe7d4e16a15cab998cf955135718e53b92f459c59e549c25,2,1122000.902,93,2025-07-08
826443cc61fdff121fe33caa1f2ccc930d289d88ba11e013829ee4416b4dbc55,2,1117307.741,95,2025-07-08
4465c08705f3b8888555a090432a4c1f19ee67eae50f1831e25a0cd15ef9ccd9,8,1096641.48,98,2025-07-08
fa8a9b1086b8f7ed7ef4a79d10df0a4b79712be318164a2437c83c6f897b56b0,2,1078193.303,98,2025-07-08
40dabb5d23c7641e6b0b955a7eed383bd32b505fa7e0f859cb5edf9fa2f8242b,1,1067103.092,97,2025-07-08
7713fd442dab3fcebdafa255e4e92bbb6cd3854e9050c95c3b1fce0394645167,1,1059793.669,84,2025-07-08
b78a5070e646273cf053464d30c7a372cac7e64e1aad8ecf2206c01258bb799c,2,1051073.1,88,2025-07-08
aee1e75e566313bd8e860f9978989d74bc770f41d71a3656643a8c27c803470f,1,1044005.6,95,2025-07-08
1fbb16d9c7b0567acf969a9be1401c52e40cecda109d24ba284ec396b28cb7df,1,1039614.972,96,2025-07-08
75bf410e0f7a0fd2a3510d06ee0225e29ca6ec6828dbe1ff83805f9d2f01ff1b,2,1035737.351,83,2025-07-08
fceb33b07eefbc34597bb2821e5746cf7895ddc0fbbf489e79b940faa3124cc6,1,1025807.068,94,2025-07-08
b33eec107c258695f5e23e658507817b3f7b1380cf14ccf0a7f41433db942aef,1,1021070.281,77,2025-07-08
709570d357c1f3515ce68e20c36d0e4ac5e13c6556f3585e5038a4c3c5264434,1,1018333.327,77,2025-07-08
9864dc79829c05846768501dc1f8d00fedb74b45654f0e5e1aaa2082f26cff7b,1,1017925.953,94,2025-07-08
dd03477e8bb1235098c768b4deb40900a9ef70120c6a2c419a1399539cece103,2,1017371.96,63,2025-07-08
5c2a0a4ab7bee232cad6faf6897da4956c8128527e9dee37c8d58a0312f49144,1,1017225.308,96,2025-07-08
f48afb8c1e6b30e171dcfcc9298ecbe6588170f8e33b7f10581d872f18d199df,2,1013810.93,77,2025-07-08
4a8c052a9b214cfd5aaefea3265c7da059f0df82b6c549b8bfd672464c551041,2,1012118.855,70,2025-07-08
6b40cffd990601288a92cbb1c63db6c76b76623735940db5d7dfb0c2f967bf43,3,1007349.299,98,2025-07-08
bb0c49c98f11935320f09863b9165b9d224cf0f140607e286fd0aa22c583f936,1,1003855.314,76,2025-07-08
b5eb91699addddc9fd8cf14e17825885acf64ec28843276ca95f4f0697a6f180,1,1003221.56,60,2025-07-08
d86e23dda9e7254ce7125f5ab5f2bc2bc899a1d62cd8dafea7d86713f2f5702c,5,1001587.917,66,2025-07-08
57c7c0fd861cba3db4557dba2f0336a370d9f57175bff971d126e58e0aa6c9c7,1,998924.102,78,2025-07-08
65cead9c214f89063a9a1b5dacdf63c40fbfae79fbbc45e95320c42132c5f8a1,1,998258.844,91,2025-07-08
88b551ff6ffaa3c022e5cc3d3369644c731f860bacd338740ef197abf71f3f77,3,996655.055,75,2025-07-08
e5441070ceaeb1f2bf6d664c7868df75930e94446e2a2db5740ca68a28fc68e6,2,990306.24,80,2025-07-08
72078990ae6d9022b3ef3b4b5c854a86f3d2225c62e62605e22432878ffd4660,2,989841.622,93,2025-07-08
b2b154b3f5e8f088455ecb049addd276e2dedb40f90cc4b253c44a77a0b4a7a9,3,977175.826,77,2025-07-08
af9a71df0986054a3210bb1480b33bfbd56a4e0aebfd3c1906045900d1b54e70,6,968119.647,73,2025-07-08
24afb8dcb7ca3914492504590f031bc0a1dfcd479755ee3f3d78937f00a6bdce,2,966371.2960000001,94,2025-07-08
1f6c0e1cf8dd92be23e682509b96464686c8dea2f4411cea93a3a0d34801b0f5,1,964338.595,73,2025-07-08
55e028576aa3506e9f218fa4bc61fe9734d016d5c5f4106beed0f732872684c0,1,962621.088,77,2025-07-08
e7fcd9765fa851614f50a8c18e2f71730c3c3361ba7b83e7397c67f80a3c229a,4,959517.372,58,2025-07-08
f7935613d9316f868e9a1199a4ee1d61a30097c8b4768c33139e5a9982a084be,4,954706.192,97,2025-07-08
9d6d9f34457364d9172c12bf5bc86a0da20adb1294ae5bf6d7f4ffe072e232d9,1,952970.546,86,2025-07-08
967f9251b0acc6f8ef87ff2fa91d6ef4a35449f6a3de87e4ec664c81cf250281,1,941321.9750000001,98,2025-07-08
