borrower_id,loan_id,loan_issued_at,country,outstanding_balance,repaid_amount_day,loan_duration,days_past_due,report_date_local,dpd_filled,dpd,segment
00006f0463eb81e53ec28e0a1bd7e34b5a37b37a2eddd8acc38683cd7818682a,b831f487e76f4acde072e1185ed88ec398a048907d9271106098d8c9be0edfb1,2025-06-05,Netherlands,915.2,0.0,54,33,2025-07-08,33,33,overdue_31_90
00086d3f4d52838af410501ea4052753534f772739d4c11a637bb2f7538be280,0a3bd29bc4a74a1ae2e0f31f64eed100ae0df7daf9c0fe543eeb17b1185118b7,2025-04-14,Estonia,1273.217,0.0,84,85,2025-07-08,85,85,overdue_31_90
000ea2de0c7ce1bcd7c3d3b04a8a038529bc45aa0c83704f49265344e145991e,0db168ed8ddbeddd94e5062f36487619c96a98664fded87bb74faeaf87c8aa96,2025-06-16,Estonia,791.824,0.0,24,22,2025-07-08,22,22,late_1_30
0016f21e14bb8d6b9a6684abad67c1cd5404279d51da5981074c2d58240ce8d0,d19bd6e78ce63f02e7097b297be05b639eae2f5da3b54295ca335ff9e1a39ddd,2025-06-14,Estonia,2222.814,0.0,24,24,2025-07-08,24,24,late_1_30
0038b1bb2cf705be6616d75da0ea8e6ba1adbc45673ac5879b7de823e9ca96a6,0d2dbdcce8fb3573d436062ed57e49e9bc6f816863e9ccb60bdd40cde71ad178,2025-05-02,Estonia,523.105,31.669,24,67,2025-07-08,67,67,overdue_31_90
0038be71c2c6178dd4f47b3711d46246a1d43c72aaba541144fa04438ef4ab97,6bbcb6da103b23ba1e926c7b2931ae1301157374588c006493c6eea6a273b169,2025-06-15,Netherlands,114.4,0.0,113,23,2025-07-08,23,23,late_1_30
0040f85c8cef412ffe0d935cb658281bb2c2ffa291564a203848f1d0cffa2714,52a3fd5647d1975a42ab13bc5a5064e07d059a864b82933cc6f8c01ee2c1fcb8,2025-04-18,Netherlands,875.083,0.0,84,81,2025-07-08,81,81,overdue_31_90
004241f25c8b340986182ced64cadabc89ca117a1eee896dbe39a94378236a51,6373d8682f88db8730ce846d7e9097451399b60a77103aa99feb1d29e9e5bb9c,2025-05-27,Netherlands,2740.441,0.0,112,42,2025-07-08,42,42,overdue_31_90
004b823b1c09e9387bd0bbd666bba74021e34db611c1bd45db3e9865b30e77ac,623d22e6ff9d55b113d68a5addd6e1cfd3cbfbc55d6a227e57f5ad5e38529648,2025-04-02,Netherlands,111.562,0.0,84,97,2025-07-08,97,97,default_90_plus
0051efac1610da2be2ad03f6b5553c2d8b3f56f060c6d774d90feaef4cfdc6db,ee6a6c1af30d3ceb0281dd0a4d921bf1121f711d429d4547e1548fa0d0da35de,2025-05-13,Netherlands,1002.683,0.0,60,56,2025-07-08,56,56,overdue_31_90
0079b019791e68c673a39e17a692cdf579a6d3a8d4229ca08df19953a8ca0bd2,fdf983ca7e5b011a22d94440c88a76764988ddffe66c2353ded969e82f677385,2025-04-03,Netherlands,655.446,0.0,54,96,2025-07-08,96,96,default_90_plus
00803064dc608dc2e36d8c9939fe3f3b5692bc2bbf664d2c3db68d428ad6b474,a543efb2c441f8842da0cd623984b2e44d63a077b64602f48e9b4dff8ef9b529,2025-06-27,Estonia,8722.791,112.904,84,11,2025-07-08,11,11,late_1_30
0086d876d55c3ffdcc0ea85fcaf884528838d02e0066d5c4cb2f0839e258571a,258b629c680da483cc361358ec9afef431aded2e7d8ee94756bd9a98fb1160e0,2025-05-02,Estonia,452.606,0.0,96,67,2025-07-08,67,67,overdue_31_90
0087d54610071a76f88bf0d33fc3b7b093c1997e442708fb746e7c9182125396,1ec9b1cc76ec989c2dbbc3001127c6b010a3c9dff575651b79b2a654c3d32574,2025-05-31,Netherlands,3290.397,0.0,121,38,2025-07-08,38,38,overdue_31_90
00acb1bf3e5d4acd876d3e02d923a0fc9403c29c7604cd85250763481ce69502,3891efb8ccce4853e68a594f8c12e63f41a3b7b896b4682a0ee1d98f5dcd4c1e,2025-04-03,Netherlands,989.065,0.0,60,96,2025-07-08,96,96,default_90_plus
00b06143f690f7a9cbac743bb2ad5077df8e1035aeb4dff03adf13c597cd41b1,918aa397cebd83924593cde1fbf5fbb2fea3f7a420a7fbf5e1daf9ee03231751,2025-04-18,Netherlands,3258.134,0.0,121,81,2025-07-08,81,81,overdue_31_90
00c188fbf7ca3021fa4d9d9f29176dd6b9574beb6077f933ef9a98c4e7ba686b,8ff3bc02238a287a3bb04c9cffd7eb433750e2077779e29d9066d8f5c8dfafe6,2025-06-30,Netherlands,5491.2,0.0,60,8,2025-07-08,8,8,late_1_30
00c1996279170b76d9dc0235afb155f3bd96863fd1236e4bd5629373b669a769,5b6a27b9519215b4b55390fa009e53dbaca4546f40b5cc4f578f03117f197006,2025-04-04,Netherlands,2059.992,0.0,48,95,2025-07-08,95,95,default_90_plus
