borrower_id,loan_id,loan_issued_at,country,outstanding_balance,repaid_amount_day,loan_duration,days_past_due,report_date_local,dpd_filled,dpd,segment
00006f0463eb81e53ec28e0a1bd7e34b5a37b37a2eddd8acc38683cd7818682a,b831f487e76f4acde072e1185ed88ec398a048907d9271106098d8c9be0edfb1,2025-06-05,Netherlands,915.2,0.0,54,33,2025-07-08,33,33,overdue_31_90
00086d3f4d52838af410501ea4052753534f772739d4c11a637bb2f7538be280,0a3bd29bc4a74a1ae2e0f31f64eed100ae0df7daf9c0fe543eeb17b1185118b7,2025-04-14,Estonia,1273.217,0.0,84,85,2025-07-08,85,85,overdue_31_90
0038b1bb2cf705be6616d75da0ea8e6ba1adbc45673ac5879b7de823e9ca96a6,0d2dbdcce8fb3573d436062ed57e49e9bc6f816863e9ccb60bdd40cde71ad178,2025-05-02,Estonia,523.105,31.669,24,67,2025-07-08,67,67,overdue_31_90
0040f85c8cef412ffe0d935cb658281bb2c2ffa291564a203848f1d0cffa2714,52a3fd5647d1975a42ab13bc5a5064e07d059a864b82933cc6f8c01ee2c1fcb8,2025-04-18,Netherlands,875.083,0.0,84,81,2025-07-08,81,81,overdue_31_90
004241f25c8b340986182ced64cadabc89ca117a1eee896dbe39a94378236a51,6373d8682f88db8730ce846d7e9097451399b60a77103aa99feb1d29e9e5bb9c,2025-05-27,Netherlands,2740.441,0.0,112,42,2025-07-08,42,42,overdue_31_90
0051efac1610da2be2ad03f6b5553c2d8b3f56f060c6d774d90feaef4cfdc6db,ee6a6c1af30d3ceb0281dd0a4d921bf1121f711d429d4547e1548fa0d0da35de,2025-05-13,Netherlands,1002.683,0.0,60,56,2025-07-08,56,56,overdue_31_90
0086d876d55c3ffdcc0ea85fcaf884528838d02e0066d5c4cb2f0839e258571a,258b629c680da483cc361358ec9afef431aded2e7d8ee94756bd9a98fb1160e0,2025-05-02,Estonia,452.606,0.0,96,67,2025-07-08,67,67,overdue_31_90
0087d54610071a76f88bf0d33fc3b7b093c1997e442708fb746e7c9182125396,1ec9b1cc76ec989c2dbbc3001127c6b010a3c9dff575651b79b2a654c3d32574,2025-05-31,Netherlands,3290.397,0.0,121,38,2025-07-08,38,38,overdue_31_90
00b06143f690f7a9cbac743bb2ad5077df8e1035aeb4dff03adf13c597cd41b1,918aa397cebd83924593cde1fbf5fbb2fea3f7a420a7fbf5e1daf9ee03231751,2025-04-18,Netherlands,3258.134,0.0,121,81,2025-07-08,81,81,overdue_31_90
00c26382a223eaea6a50e99748d1613aa3ec651e033312a0db35d663bd83e95d,ca7065f3726f731e676b45222b6cd83b4c291b6a55d96ab82905aae08cd1e92a,2025-05-22,Estonia,217.096,0.0,24,47,2025-07-08,47,47,overdue_31_90
00cb563ca7dfe1e0962da0a3df0ecc531f8eb179c2e3afdbc201297f9f5de26e,b6b7ad4bd8185b9b116b7e066f01e6b142be619aa9dac3618d925252aa48d147,2025-05-01,Estonia,2104.3,0.0,119,68,2025-07-08,68,68,overdue_31_90
00e558f75adddcc93cef6af0af57952cb0b885e6d12fc5a5d742c3f03b28e709,a78ce02b2e43608180ec80b05a05a9f3b3ed33e18d99d88a6c2a2183760ab89c,2025-05-08,Netherlands,7464.413,0.0,60,61,2025-07-08,61,61,overdue_31_90
00eabefc2d5478e992ddbe0d0c1e6275f2a7c389bb4fe6ec3509704e282adcf2,9c5184b628450d263f1b020f87c940f6d27fa855dccfe87c24088e127ae59e22,2025-04-18,Netherlands,415.877,0.0,30,81,2025-07-08,81,81,overdue_31_90
00ef54851eadd2eb8dc98b7f620795d6da1eb792c08309a75d1b7ea09af1cdd7,d841cee2c4ae3841f865532fc512b52377851c6a2efe58037a7df45f0c09a39f,2025-04-21,Netherlands,1117.633,0.0,66,78,2025-07-08,78,78,overdue_31_90
01013d15f583934affb2c3d5fc4a5cb841e268785f88e82f6163c5466b08173e,b73749e3c6c9193bde9f7b1b47df951441d6f1dbdb71fe9a8e6921b9ce9dd460,2025-04-17,Estonia,837.364,50.699,24,82,2025-07-08,82,82,overdue_31_90
01046f9102e6ec3e4a9e345da0663afca0a71f92ba06577ed9d1d1e25a090485,99290a3f5678c0f9a33ed39c42db6bf61a55dfa0a3a6ae7cc0e53f80f17347b8,2025-06-03,Netherlands,4992.328,0.0,84,35,2025-07-08,35,35,overdue_31_90
010bc27c6a5788911fc34cb1bc441ad788a4b5368a9648248efbe036d21012ba,2be964b2b83521a3f2bbbd4261613e688ed0ab32ff0ba9c93b34c98d971a0547,2025-05-23,Estonia,2890.8,0.0,48,46,2025-07-08,46,46,overdue_31_90
